Stock,Date
스피어파워,2023-08-22
율호,2015-12-01
율호,2022-10-06
덕산하이메탈,2024-01-23
에이프로젠,2002-02-04
하츠,2012-05-09
주성코퍼레이션,2018-06-05
에이프로젠바이오로직스,2001-08-24
타임기술,2024-04-03
CJ프레시웨이,2009-03-11
CJ프레시웨이,2011-12-23
아모레퍼시픽그룹,2007-06-18
광진실업,2002-04-08
협진,2014-06-19
세코닉스,2022-03-08
플랜티넷,2020-07-13
이엔플러스,2006-02-06
이엔플러스,2006-11-27
미래아이앤지,2010-01-18
와이투솔루션,2006-10-27
리드코프,2002-01-02
한글과컴퓨터,2003-08-12
3S,2021-08-27
태양금속공업,2014-09-03
유비케어,2012-08-14
유비케어,2024-01-25
조비,2006-02-21
조비,2018-07-30
아비코전자,2010-09-06
이스타코,2002-01-11
한국알콜,2006-06-21
한국알콜,2019-01-10
누리플렉스,2009-07-22
이글벳,2011-08-01
플레이그램,2011-09-29
플레이그램,2013-07-15
플레이그램,2015-04-03
마크로젠,2013-04-15
TYM,2012-02-08
파이버프로,2023-06-15
한일사료,2005-04-04
동신건설,2015-05-22
레몬,2020-06-30
한국공항,2001-03-27
한국공항,2015-01-21
씨아이테크,2020-07-13
유라테크,2010-02-19
유라테크,2012-05-04
유라테크,2020-10-19
고려제강,2001-04-24
테라사이언스,2015-05-11
테라사이언스,2019-01-07
미창석유공업,2001-10-29
신화인터텍,2003-02-05
다우기술,2012-01-05
삼영에스앤씨,2021-12-24
부광약품,2009-03-12
휴온스글로벌,2011-12-23
휴온스글로벌,2014-12-08
미원홀딩스,2010-05-24
이연제약,2020-10-05
엔피디,2023-12-05
에코볼트,2009-03-10
현대바이오,2009-03-26
현대바이오,2016-05-12
신테카바이오,2020-08-26
신테카바이오,2023-01-06
씨앤씨인터내셔널,2023-08-07
모헨즈,2000-08-04
모헨즈,2005-05-13
CS,2009-03-20
CS,2015-12-10
드래곤플라이,2010-06-25
에스엠벡셀,2000-10-23
에스엠벡셀,2004-02-19
피에스케이홀딩스,2002-01-02
피에스케이홀딩스,2012-02-20
대한약품,2011-10-12
대한약품,2011-12-29
DRB동일,2020-07-13
네이블,2022-01-04
호텔신라,2016-04-19
모아텍,2003-08-18
한솔인티큐브,2007-03-13
한솔인티큐브,2007-08-01
한솔인티큐브,2011-09-02
한솔인티큐브,2020-03-30
다날,2009-09-17
다날,2012-08-14
다날,2012-11-28
다날,2020-10-28
유진테크,2023-08-21
삼보판지,2019-06-11
유유제약,2012-12-11
유유제약,2015-06-24
한빛소프트,2003-06-13
한빛소프트,2014-11-26
한빛소프트,2021-05-25
피제이메탈,2019-12-13
피제이메탈,2023-06-07
현대해상,2018-09-27
엠케이전자,2002-01-29
참좋은여행,2015-06-24
모다이노칩,2016-07-01
인바이오젠,2015-01-12
대유에이텍,2001-08-07
대유에이텍,2003-01-09
대유에이텍,2005-11-29
RF머트리얼즈,2023-01-11
세방,2000-08-17
세방,2005-01-24
농우바이오,2005-04-06
농우바이오,2010-03-02
신풍제약,2005-05-23
나노신소재,2019-03-22
한솔아이원스,2017-07-18
솔브레인홀딩스,2023-10-20
효성,2013-07-02
디티앤씨,2018-05-29
대봉엘에스,2012-01-06
대봉엘에스,2018-04-02
POSCO홀딩스,2023-06-07
한국앤컴퍼니,2021-03-29
SK하이닉스,2000-08-18
나라엠앤디,2020-09-17
대아티아이,2006-02-21
대아티아이,2019-11-08
대아티아이,2021-07-28
남선알미늄,2000-08-16
남선알미늄,2005-09-09
남선알미늄,2008-10-01
인성정보,2005-09-12
룽투코리아,2012-07-06
어보브반도체,2021-06-15
화성밸브,2009-07-16
엔터파트너즈,2022-10-05
디지틀조선,2003-07-18
시공테크,2004-01-07
시공테크,2012-01-03
서울식품공업,2008-04-23
삼일제약,2018-08-24
삼일제약,2019-11-06
삼일제약,2020-07-23
에이텍모빌리티,2020-07-01
에이텍모빌리티,2020-10-14
엘디티,2009-08-14
팜젠사이언스,2000-05-09
이지홀딩스,2009-03-20
HD현대에너지솔루션,2022-03-02
이엠티,2016-08-25
이엠티,2018-02-07
이엠티,2019-02-19
네패스,2009-10-12
KR모터스,2014-06-11
지엔코,2003-06-17
지엔코,2011-11-07
지엔코,2020-01-10
EG,2006-07-06
쌍방울,2022-06-13
한울소재과학,2009-03-26
케이바이오,2020-11-30
케이바이오,2021-09-01
서원,2009-02-04
서원,2016-07-01
팜스코,2000-08-17
팜스코,2009-07-06
바이온,2018-01-02
세아베스틸지주,2002-05-28
삼성SDI,2008-05-16
제이앤티씨,2020-06-26
영풍제지,2021-02-01
영풍제지,2021-04-08
국동,2009-03-16
국동,2010-06-07
국동,2012-03-20
휴림로봇,2009-03-20
일진전기,2012-02-27
일진전기,2023-08-25
일진전기,2023-11-27
유한양행,2000-09-29
성창기업지주,2001-01-11
성창기업지주,2001-10-31
도이치모터스,2007-02-22
도이치모터스,2009-06-03
도이치모터스,2011-01-03
세우글로벌,2014-03-27
포스코스틸리온,2023-02-17
포스코스틸리온,2023-06-14
인지컨트롤스,2011-05-31
인지컨트롤스,2022-09-19
유수홀딩스,2004-10-28
유수홀딩스,2014-12-02
스페코,2010-11-24
신라에스지,2002-01-08
에스코넥,2018-06-01
HL D&I,2019-11-08
SG,2018-07-26
안랩,2019-11-05
코스맥스,2014-08-22
코스맥스,2021-05-27
한국카본,2022-02-25
TJ미디어,2009-11-02
서진오토모티브,2018-01-19
삼양패키징,2023-03-08
한일화학,2015-05-26
제룡산업,2012-11-23
에스제이엠홀딩스,2000-08-17
에스제이엠홀딩스,2005-08-26
에스제이엠홀딩스,2010-12-09
뉴보텍,2005-12-01
판도라티비,2016-07-15
판도라티비,2024-03-25
오리온홀딩스,2011-09-09
오리온홀딩스,2015-03-19
오리온홀딩스,2021-01-28
조광페인트,2012-06-12
HDC현대EP,2011-06-21
HDC현대EP,2021-11-17
유엑스엔,2020-06-09
서전기전,2018-10-12
아난티,2001-11-27
아난티,2011-09-06
HLB,2017-03-03
압타바이오,2023-05-31
에넥스,2012-06-12
큐엠씨,2017-02-28
큐엠씨,2018-06-14
베셀,2017-06-07
에이디테크놀로지,2023-09-05
에이디테크놀로지,2024-02-15
휠라홀딩스,2022-10-19
하나투어,2017-01-19
유니테크노,2017-04-04
한솔로지스틱스,2004-08-16
우리기술투자,2009-03-12
우리기술투자,2024-02-14
관악산업,2016-09-08
관악산업,2016-10-04
관악산업,2017-09-20
옵티시스,2021-09-01
삼양홀딩스,2006-01-06
굿센,2017-04-21
크리스탈신소재,2020-06-30
이수페타시스,2004-10-11
이화공영,2005-09-12
이화공영,2008-09-09
유아이디,2019-07-08
CG인바이츠,2020-07-29
핑거스토리,2024-02-16
한창,2019-11-08
대주산업,2007-01-04
SK텔레콤,2002-01-03
삼륭물산,2000-06-02
삼륭물산,2004-11-03
이렘,2007-01-04
이렘,2009-03-25
이렘,2015-05-29
LB세미콘,2024-01-25
모바일어플라이언스,2019-03-29
황금에스티,2020-07-13
브리지텍,2024-02-16
KH 필룩스,2009-03-09
동국S&C,2013-11-07
동국S&C,2022-03-02
YTN,2009-06-24
코렌텍,2014-04-03
이비테크,2018-04-13
원익홀딩스,2009-05-18
동원수산,2019-11-06
에코프로,2014-05-29
옵티팜,2022-02-28
DB손해보험,2018-09-27
제이에스티나,2014-12-03
엔피,2023-01-17
유진로봇,2002-02-26
대현,2001-04-17
대현,2016-04-19
HLB테라퓨틱스,2017-12-28
HLB테라퓨틱스,2021-12-08
대림비앤코,2002-10-15
SBS,2011-09-05
국영지앤엠,2011-12-23
국영지앤엠,2018-06-26
LX인터내셔널,2002-01-28
웰크론한텍,2011-08-17
DSR,2020-07-13
롯데이노베이트,2023-04-18
재영솔루텍,2015-02-27
JW중외제약,2020-07-24
남성,2000-08-14
태양,2004-05-24
샘표,2018-07-09
샘표,2019-04-04
SK케미칼,2021-10-08
피에스텍,2020-12-21
MIT,2013-04-15
코오롱인더,2010-10-25
조광ILI,2018-06-07
대원미디어,2010-10-21
대원미디어,2012-11-23
대원미디어,2015-05-19
대원미디어,2018-11-12
아이크래프트,2006-11-02
아이크래프트,2015-08-05
아이크래프트,2024-01-05
휴온스,2022-02-08
DH오토웨어,2005-11-03
DH오토웨어,2012-04-30
삼성출판사,2011-10-13
삼성출판사,2016-10-10
SPC삼립,2001-10-10
보성파워텍,2009-02-16
보성파워텍,2009-03-16
보성파워텍,2011-12-22
보성파워텍,2019-11-05
동원산업,2005-02-07
동원산업,2007-03-27
푸드웰,2005-09-02
LIG넥스원,2016-07-22
삼진제약,2000-05-09
엠투엔,2000-12-08
티에이치엔,2009-09-08
티에이치엔,2015-12-29
대명소노시즌,2006-02-07
대명소노시즌,2009-07-27
KG케미칼,2008-04-15
성호전자,2009-06-25
성호전자,2010-12-10
제이엠티,2011-05-30
위메이드플레이,2014-09-12
브이원텍,2021-03-09
LG화학,2002-08-26
LG화학,2022-07-22
쇼박스,2020-09-15
링크제니시스,2020-12-21
한국금융지주,2004-02-13
한국금융지주,2018-03-12
아이윈플러스,2020-07-20
앤씨앤,2017-02-20
디오,2012-01-06
삼영전자공업,2000-05-09
휴스틸,2005-04-21
에스바이오메딕스,2024-02-14
가온전선,2002-01-28
HDC,2003-06-26
시알홀딩스,2023-06-16
THE MIDONG,2015-04-13
THE MIDONG,2019-04-05
THE MIDONG,2023-04-04
대한뉴팜,2017-10-16
흥구석유,2011-12-23
우진,2022-05-04
KBI메탈,2004-05-11
코이즈,2020-12-21
인터플렉스,2003-08-11
인터플렉스,2009-10-28
부산주공,2006-01-24
테크엘,2005-08-23
썬테크,2017-09-29
썬테크,2019-03-13
GS건설,2021-06-02
데이터스트림즈,2019-07-16
삼부토건,2004-09-17
삼부토건,2018-04-20
한독,2003-06-10
아진산업,2020-09-15
바이오솔루션,2022-09-16
HJ중공업,2014-04-01
인선이엔티,2011-08-19
금호타이어,2007-08-30
세화피앤씨,2018-11-08
세화피앤씨,2019-04-08
퍼스텍,2019-11-05
로보로보,2017-12-27
현대에이치티,2001-07-09
현대에이치티,2011-08-18
현대에이치티,2011-10-18
엄지하우스,2022-11-22
CBI,2000-04-25
CBI,2001-04-26
화승인더스트리,2002-05-09
화승인더스트리,2016-02-29
대원제약,2000-11-16
HD현대일렉트릭,2020-07-13
코미코,2019-04-04
드림씨아이에스,2023-08-03
디젠스,2015-12-18
현우산업,2009-06-26
영보화학,2002-01-04
데브시스터즈,2021-05-31
데브시스터즈,2021-11-12
디앤씨미디어,2018-01-08
이니텍,2005-05-23
이니텍,2011-08-18
아이쓰리시스템,2022-02-10
질경이,2018-08-27
메디콕스,2003-01-14
메디콕스,2007-03-09
메디콕스,2016-01-21
까뮤이앤씨,2009-06-30
까뮤이앤씨,2013-03-12
광림,2021-01-15
삼표시멘트,2003-05-28
삼표시멘트,2006-01-20
탑코미디어,2016-09-23
위메이드,2021-08-17
대창스틸,2021-02-17
제이엠아이,2021-05-13
이랜시스,2022-03-21
컴투스,2014-02-11
웨이버스,2023-08-25
디이엔티,2022-06-02
코닉오토메이션,2022-11-01
서부T&D,2001-01-09
서부T&D,2001-12-17
서부T&D,2006-01-06
서부T&D,2006-02-20
한스바이오메드,2015-03-16
한진중공업홀딩스,2020-11-12
삼영엠텍,2015-03-19
삼영엠텍,2022-07-08
삼현철강,2005-01-20
삼현철강,2009-03-24
한국테크놀로지,2018-01-10
현대코퍼레이션,2003-06-19
티엘아이,2011-12-08
테크트랜스,2018-12-04
케이씨티시,2001-10-15
케이씨티시,2005-11-16
깨끗한나라,2005-09-08
동양철관,2008-02-13
동양철관,2010-04-29
엑사이엔씨,2009-10-14
엑사이엔씨,2023-01-11
조아제약,2004-10-21
조아제약,2010-10-04
한진,2014-08-18
국일신동,2018-11-07
카스,2001-08-02
카스,2005-09-02
카스,2019-03-27
상상인,2010-04-26
싸이토젠,2024-01-31
진양산업,2021-07-28
지니뮤직,2004-03-29
지니뮤직,2004-04-28
동아쏘시오홀딩스,2000-08-18
