Stock,Buy Date,Buy Price,Sell Price,Return Rate
스피어파워,2023-08-22,7640,8390,9.81675392670157
율호,2015-12-01,1696,1704,0.4716981132075472
율호,2022-10-06,1740,1590,-8.620689655172415
덕산하이메탈,2024-01-23,7440,6900,-7.258064516129033
에이프로젠,2002-02-04,68492,62791,-8.323599836477252
하츠,2012-05-09,5250,5400,2.857142857142857
주성코퍼레이션,2018-06-05,67800,73500,8.4070796460177
에이프로젠바이오로직스,2001-08-24,87895,77877,-11.397690426076569
타임기술,2024-04-03,1899,1890,-0.47393364928909953
CJ프레시웨이,2009-03-11,5250,5150,-1.9047619047619049
CJ프레시웨이,2011-12-23,25850,25200,-2.5145067698259185
아모레퍼시픽그룹,2007-06-18,18607,17061,-8.308701026495404
광진실업,2002-04-08,1435,1280,-10.801393728222997
협진,2014-06-19,4399,4800,9.115708115480793
세코닉스,2022-03-08,10500,10350,-1.4285714285714286
플랜티넷,2020-07-13,2605,2599,-0.23032629558541268
이엔플러스,2006-02-06,6625,6075,-8.30188679245283
이엔플러스,2006-11-27,11645,11485,-1.3739802490339201
미래아이앤지,2010-01-18,4490,3960,-11.804008908685969
와이투솔루션,2006-10-27,6245,5800,-7.125700560448359
리드코프,2002-01-02,65060,72826,11.93667383953274
한글과컴퓨터,2003-08-12,8392,8605,2.53813155386082
3S,2021-08-27,3465,3665,5.772005772005772
태양금속공업,2014-09-03,1165,1190,2.1459227467811157
유비케어,2012-08-14,3005,2990,-0.49916805324459235
유비케어,2024-01-25,4880,4855,-0.5122950819672131
조비,2006-02-21,9354,9419,0.6948898866794954
조비,2018-07-30,26450,25200,-4.725897920604915
아비코전자,2010-09-06,4100,5100,24.390243902439025
이스타코,2002-01-11,406,367,-9.60591133004926
한국알콜,2006-06-21,2498,2494,-0.16012810248198558
한국알콜,2019-01-10,7270,7250,-0.2751031636863824
누리플렉스,2009-07-22,13600,13600,0.0
이글벳,2011-08-01,2053,1960,-4.529956161714564
플레이그램,2011-09-29,933,742,-20.471596998928188
플레이그램,2013-07-15,1074,1072,-0.186219739292365
플레이그램,2015-04-03,3650,3259,-10.712328767123287
마크로젠,2013-04-15,26033,22933,-11.907962970076442
TYM,2012-02-08,7024,6605,-5.965261958997722
파이버프로,2023-06-15,3750,3685,-1.7333333333333332
한일사료,2005-04-04,758,758,0.0
동신건설,2015-05-22,6530,6000,-8.116385911179174
레몬,2020-06-30,15516,15180,-2.165506573859242
한국공항,2001-03-27,11200,11150,-0.4464285714285714
한국공항,2015-01-21,42750,42200,-1.2865497076023393
씨아이테크,2020-07-13,1115,1125,0.8968609865470852
유라테크,2010-02-19,3890,3800,-2.313624678663239
유라테크,2012-05-04,5400,5220,-3.3333333333333335
유라테크,2020-10-19,12000,12450,3.75
고려제강,2001-04-24,5847,5847,0.0
테라사이언스,2015-05-11,1165,1034,-11.244635193133048
테라사이언스,2019-01-07,2015,1970,-2.2332506203473943
미창석유공업,2001-10-29,7540,7740,2.6525198938992043
신화인터텍,2003-02-05,1470,1338,-8.979591836734693
다우기술,2012-01-05,14100,13900,-1.4184397163120568
삼영에스앤씨,2021-12-24,13300,13200,-0.7518796992481203
부광약품,2009-03-12,7908,8153,3.0981284774911484
휴온스글로벌,2011-12-23,4398,4353,-1.023192360163711
휴온스글로벌,2014-12-08,37370,36435,-2.502006957452502
미원홀딩스,2010-05-24,11141,9876,-11.354456511982766
이연제약,2020-10-05,21578,19420,-10.000926869960145
엔피디,2023-12-05,2245,2050,-8.68596881959911
에코볼트,2009-03-10,1558,1587,1.8613607188703467
현대바이오,2009-03-26,5095,4607,-9.578017664376839
현대바이오,2016-05-12,6040,6400,5.960264900662252
신테카바이오,2020-08-26,14150,13950,-1.4134275618374559
신테카바이오,2023-01-06,9230,8450,-8.450704225352112
씨앤씨인터내셔널,2023-08-07,57200,56900,-0.5244755244755245
모헨즈,2000-08-04,10102,9737,-3.6131459117006535
모헨즈,2005-05-13,515,699,35.728155339805824
CS,2009-03-20,1785,1800,0.8403361344537815
CS,2015-12-10,2790,2710,-2.867383512544803
드래곤플라이,2010-06-25,13719,13997,2.0263867628835923
에스엠벡셀,2000-10-23,7059,7158,1.4024649383765404
에스엠벡셀,2004-02-19,3015,3015,0.0
피에스케이홀딩스,2002-01-02,1701,2144,26.0435038212816
피에스케이홀딩스,2012-02-20,5162,5119,-0.833010461061604
대한약품,2011-10-12,5910,5880,-0.5076142131979695
대한약품,2011-12-29,10250,11750,14.634146341463413
DRB동일,2020-07-13,7250,7140,-1.5172413793103448
네이블,2022-01-04,8220,8110,-1.338199513381995
호텔신라,2016-04-19,71900,71600,-0.4172461752433936
모아텍,2003-08-18,9438,8664,-8.200890019071837
한솔인티큐브,2007-03-13,2597,2541,-2.15633423180593
한솔인티큐브,2007-08-01,3496,3733,6.779176201372998
한솔인티큐브,2011-09-02,1548,1623,4.844961240310078
한솔인티큐브,2020-03-30,3800,4150,9.210526315789473
다날,2009-09-17,8117,7372,-9.178267832943206
